len	flg	text
18	1	両側の肺炎と呼吸不全を指摘され入院。
155	1	腎生検結果：光顕では軽度のメサンギウム細胞と基質の増加、尿細管間質はびまん性に高度の炎症細胞浸潤を認め、IF では C3 優位で、IgG、IgM が軽度に糸球体係蹄に沈着、 EM では高度な管内増殖性変化と糸球体基底膜に連続的な肥厚・濃染があり dense deposit disease（DDD）と診断した。
154	1	他要因（他の疾患等）の可能性の有無: 無 意識消失（意識消失）、徐脈（心拍数 50/徐脈）、発作（2 件発現）、意識消失（意識消失）、全身血圧上昇（血圧 160/59）、筋痙縮（左上肢痙攣）、徐脈（ECG 心拍数 46 まで低下/洞性徐脈後の帰宅）、疲労（3 回目のワクチン接種後に疲労が持続）の転帰は回復。
145	1	患者は methylprednisolone（静脈内、500 mg、使用理由：ネフローゼ症候群）、prednisolone （45 mg、1 日 1 回、使用理由：ネフローゼ症候群）及び prednisolone（35 mg、1 日 1 回、使用理由：ネフローゼ症候群）による治療を受けた。
141	1	当院到着時は体温 36.4℃、胸部違和感のみ残存していたが、採血で CRP 6.63 mg/dL、CK-MB 55.6 ng/mL、心筋トロポニン I 21.17 ng/mL、CK 815 U/L、D-ダイマー 1.4 mcg/mL の上昇を認めたため、急性心筋炎の疑いで当院入院。
138	1	入院時の臨床検査では、重度のインスリン分泌能不良を認め、空腹時 C-ペプチド免疫反応性（CPR）は 0.33ng/mL、24 時間蓄尿 CPR は 5.74mcg/day 及び 3.82mcg/day、グルカゴン負荷テスト中のデルタ CPR は 0.03ng/mL であった。
114	1	搬送時に胸痛は消失しており，有意な心電図変化はなく，経胸壁心エコー検査で壁運動異常はなかったが，血液検査でトロポニン I 1.55ng/mL と心筋逸脱酵素が上昇しており，ワクチン接種後の心筋炎や冠攣縮性狭心症の疑いで入院した。
114	1	心電図検査にて発作性又は持続性の心房性又は心室性不整脈、持続モニターで検出された頻回に出現する心房性期外収縮又は心室性期外収縮、広範な誘導における上に凹型の ST 上昇又は陰性 T 波、aVR 誘導における ST 低下を認めた。
112	1	血液ガス pH 6.885、HCO3- 15.7、 B.E- 19.0、PaCO2 87.7、PaO2 177.3、Lac 121 と著明な代謝性アシドーシス、Lac 上昇を認め、心肺停止時間がある程度あった事が予想された。
110	1	10：32  顔面紅潮、頭痛、嘔気 11：28  咳嗽出現、呼吸困難 11：33  O₂6L 開始 11：38  生食 500ml  点滴 11：42 アドレナリン筋注射  （右大腿外側） アナフィラキシーの転帰は不明。
104	1	SIAD に加え、Sjogren 症候群の既往、難治性吃逆、MRI で脳室周囲白質病変と胸髄正中に 1椎体の信号異常、抗ＡＱＰ－４抗体陽性を認めたことから視神経脊髄炎スペクトラム障害（NMOSD）と診断した。
