,Method,Accuracy,F1,Recall
0,BoW_oh+LR,0.9986405655247417,0.998710343048749,0.9994837377387713
1,BoW_oh+RID,0.9738988580750407,0.9751552795031057,0.9726381001548787
2,BoW_oh+LSVC,0.9853181076672104,0.9860537190082644,0.9855446566855963
3,BoW_oh+SVC,1.0,1.0,1.0
4,BoW_oh+NB,0.968189233278956,0.9695866909279959,0.9628291171915333
5,BoW_oh+KN,1.0,1.0,1.0
6,BoW_oh+RF,0.8926046764545948,0.9041959738054814,0.9623128549303046
7,BoW_oh+LGB,0.9684611201740077,0.9702868852459017,0.9778007227671657
8,BoW_oh+AB1,1.0,1.0,1.0
9,BoW_oh+AB2,1.0,1.0,1.0
10,BoW_oh+MLP1,0.9991843393148451,0.9992258064516129,0.9994837377387713
11,BoW_oh+MLP2,1.0,1.0,1.0
12,BoW_oh+MLP3,1.0,1.0,1.0
13,BoW_cnt+LR,0.9986405655247417,0.998710343048749,0.9994837377387713
14,BoW_cnt+RID,0.9728113104948342,0.9740663900414938,0.9695405265875064
15,BoW_cnt+LSVC,0.9847743338771071,0.9855371900826446,0.9850283944243676
16,BoW_cnt+SVC,0.9815116911364872,0.9824107604759441,0.9803820340733093
17,BoW_cnt+NB,0.968189233278956,0.9695866909279959,0.9628291171915333
18,BoW_cnt+KN,1.0,1.0,1.0
19,BoW_cnt+RF,0.887710712343665,0.9006495068559057,0.9664429530201343
20,BoW_cnt+LGB,0.9717237629146275,0.973305954825462,0.9788332472896232
21,BoW_cnt+AB1,1.0,1.0,1.0
22,BoW_cnt+AB2,1.0,1.0,1.0
23,BoW_cnt+MLP1,0.9997281131049484,0.9997419354838709,1.0
24,BoW_cnt+MLP2,1.0,1.0,1.0
25,BoW_cnt+MLP3,1.0,1.0,1.0
26,TFIDF+LR,0.9942903752039152,0.9945862335653519,0.9958699019101703
27,TFIDF+RID,0.9902120717781403,0.9907312049433574,0.9932885906040269
28,TFIDF+LSVC,0.9961935834692768,0.9963917525773196,0.9979349509550852
29,TFIDF+SVC,0.9926590538336052,0.9930394431554525,0.9943211151264842
30,TFIDF+NB,0.968189233278956,0.9695866909279959,0.9628291171915333
31,TFIDF+KN,1.0,1.0,1.0
32,TFIDF+RF,0.8863512778684067,0.900523560209424,0.9767681982447083
33,TFIDF+LGB,0.9477977161500816,0.9511698880976601,0.9654104284976768
34,TFIDF+AB1,1.0,1.0,1.0
35,TFIDF+AB2,1.0,1.0,1.0
36,TFIDF+MLP1,0.9997281131049484,0.9997418022205009,0.9994837377387713
37,TFIDF+MLP2,0.9997281131049484,0.9997418022205009,0.9994837377387713
38,TFIDF+MLP3,1.0,1.0,1.0
39,Emb_ft+LR,0.9306688417618271,0.9339549339549339,0.9308208569953537
40,Emb_ft+RID,0.9225122349102773,0.9257619171659285,0.9173980382034074
41,Emb_ft+LSVC,0.9306688417618271,0.9341255489537587,0.9334021683014971
42,Emb_ft+SVC,0.9502446982055465,0.952676493405741,0.9509550851832731
43,Emb_ft+NB,0.7153344208809136,0.7637102234258633,0.8735157459989675
44,Emb_ft+KN,1.0,1.0,1.0
45,Emb_ft+RF,0.9942903752039152,0.9945525291828793,0.9896747547754259
46,Emb_ft+LGB,1.0,1.0,1.0
47,Emb_ft+MLP1,0.9997281131049484,0.9997418022205009,0.9994837377387713
48,Emb_ft+MLP2,0.9997281131049484,0.9997418022205009,0.9994837377387713
49,Emb_ft+MLP3,0.9986405655247417,0.9987076764021712,0.9974186886938565
50,Emb_ft+AB1,1.0,1.0,1.0
51,Emb_ft+AB2,1.0,1.0,1.0
52,Emb_ft_tfidf+LR,0.8958673191952148,0.9043217586809893,0.9344346928239545
53,Emb_ft_tfidf+RID,0.8020663404023926,0.8279773156899811,0.9044914816726898
54,Emb_ft_tfidf+LSVC,0.8749320282762371,0.8855721393034827,0.9189468249870935
55,Emb_ft_tfidf+SVC,0.9127243066884176,0.9205642167780252,0.9602478058853898
56,Emb_ft_tfidf+NB,0.7911908646003263,0.8120411160058738,0.8564790913784203
57,Emb_ft_tfidf+KN,0.9961935834692768,0.9963730569948186,0.9927723283427982
58,Emb_ft_tfidf+RF,0.9698205546492659,0.9715165511932256,0.977284460505937
59,Emb_ft_tfidf+MLP1,0.933931484502447,0.9359683794466405,0.9168817759421787
60,Emb_ft_tfidf+LGB,0.9961935834692768,0.9963730569948186,0.9927723283427982
61,Emb_ft_tfidf+MLP2,0.9469820554649266,0.9499615088529638,0.9556014455343315
62,Emb_ft_tfidf+MLP3,0.9475258292550299,0.9503217503217501,0.9530201342281879
63,Emb_ft_tfidf+AB1,0.9961935834692768,0.9963730569948186,0.9927723283427982
